spotify_contains,macro_area,main_genre,priority,notes
reggaeton,Latin,Reggaeton,100,
dembow,Latin,Dembow,100,
bachata,Latin,Bachata,100,
salsa,Latin,Salsa,100,
merengue,Latin,Merengue,100,
cubaton,Latin,Cubaton,100,
timba,Latin,Timba,100,
latin pop,Latin,Latin Pop,90,
latin urban,Latin,Latin Urban,90,
hip hop,Urban,Hip Hop,90,
gangster rap,Urban,Hip Hop,90,
dirty south rap,Urban,Hip Hop,90,
crunk,Urban,Hip Hop,90,
r&b,Urban,R&B,90,
urban contemporary,Urban,R&B,85,
neo soul,Urban,R&B,85,
italian hip hop,Italiana,Rap Italiano,100,
italian rap,Italiana,Rap Italiano,100,
rap italiano,Italiana,Rap Italiano,100,
dance pop,Commerciale,Dance Pop,90,
pop dance,Commerciale,Dance Pop,90,
electropop,Commerciale,Dance Pop,85,
edm,Commerciale,EDM Commerciale,90,
electro house,Commerciale,EDM Commerciale,90,
progressive house,Commerciale,EDM Commerciale,85,
house,Commerciale,House,80,
post-teen pop,Commerciale,Pop,80,
viral pop,Commerciale,Pop,80,
pop,Commerciale,Pop,50,"Regola debole: usare solo se non ci sono match più specifici"
alternative rock,Rock / Pop Rock,Rock / Alternative,90,
pop rock,Rock / Pop Rock,Pop Rock,90,
rock,Rock / Pop Rock,Rock / Alternative,70,
karaoke,Karaoke,Karaoke,100,
